CWE121_Stack_Based_Buffer_Overflow_s04

Total files, 945

Files not reported, 563

Total OKs, 0, 0%
Total Fails, 382, 40.4232804232804%

File, Expected Bugs, Found Bugs, Bug was found?

CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_alloca_loop_65a.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_alloca_memmove_68a.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_alloca_memcpy_44.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_memcpy_09.c,Memory leak,Dead initialization;Uninitialized argument value,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_loop_41.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_declare_loop_32.c,Memory leak,Assigned value is garbage or undefined;Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_struct_alloca_memcpy_07.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_alloca_loop_15.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_loop_51a.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_int64_t_alloca_memcpy_10.c,Memory leak,Uninitialized argument value;Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_loop_06.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_loop_68a.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_loop_05.c,Memory leak,Dead initialization;Dereference of undefined pointer value,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_struct_alloca_loop_10.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_struct_alloca_loop_73a.cpp,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_declare_memmove_10.c,Memory leak,Uninitialized argument value,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_loop_53a.c,Memory leak,Dead initialization,Fail
CWE121_Stack_Based_Buffer_Overflow__CWE805_int_alloca_loop_67a.c,Memory leak,Dead initialization,Fail
