CWE126_Buffer_Overread_s01

Total files, 960

Files not reported, 720

Total OKs, 0, 0%
Total Fails, 240, 25%

File, Expected Bugs, Found Bugs, Bug was found?

CWE126_Buffer_Overread__CWE129_fscanf_02.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fscanf_53a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_large_66a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fgets_02.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_rand_16.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_rand_01.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fscanf_45.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fscanf_82a.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fgets_66a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fscanf_44.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_alloca_memcpy_14.c,Memory leak,Uninitialized argument value,Fail
CWE126_Buffer_Overread__CWE129_fgets_82a.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_connect_socket_82a.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_rand_53a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_large_73a.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_declare_loop_09.c,Memory leak,Dereference of undefined pointer value,Fail
CWE126_Buffer_Overread__char_declare_loop_07.c,Memory leak,Dereference of undefined pointer value,Fail
CWE126_Buffer_Overread__CWE129_fgets_22a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fgets_31.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fgets_52a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_alloca_memmove_32.c,Memory leak,Assigned value is garbage or undefined;Dead initialization,Fail
CWE126_Buffer_Overread__CWE129_rand_03.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_declare_memcpy_10.c,Memory leak,Uninitialized argument value,Fail
CWE126_Buffer_Overread__char_alloca_loop_33.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_listen_socket_12.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_declare_memmove_05.c,Memory leak,Uninitialized argument value,Fail
CWE126_Buffer_Overread__char_declare_loop_33.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_alloca_memcpy_32.c,Memory leak,Assigned value is garbage or undefined;Dead initialization,Fail
CWE126_Buffer_Overread__CWE129_rand_41.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_listen_socket_34.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_listen_socket_82a.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_rand_52a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_alloca_memcpy_09.c,Memory leak,Uninitialized argument value,Fail
CWE126_Buffer_Overread__CWE129_fscanf_66a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fgets_51a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fgets_32.c,Memory leak,Dead initialization,Fail
CWE126_Buffer_Overread__CWE129_connect_socket_41.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_alloca_memcpy_07.c,Memory leak,Uninitialized argument value,Fail
CWE126_Buffer_Overread__CWE129_connect_socket_68a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_alloca_loop_10.c,Memory leak,Dereference of undefined pointer value,Fail
CWE126_Buffer_Overread__CWE129_listen_socket_67a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_declare_memmove_33.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_large_31.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_connect_socket_72a.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_declare_memcpy_32.c,Memory leak,Assigned value is garbage or undefined;Dead initialization,Fail
CWE126_Buffer_Overread__CWE129_large_06.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fscanf_16.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_alloca_memcpy_05.c,Memory leak,Uninitialized argument value,Fail
CWE126_Buffer_Overread__CWE129_fgets_54a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fgets_72a.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_alloca_memmove_07.c,Memory leak,Uninitialized argument value,Fail
CWE126_Buffer_Overread__char_alloca_loop_09.c,Memory leak,Dereference of undefined pointer value,Fail
CWE126_Buffer_Overread__CWE129_fscanf_34.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_listen_socket_31.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_large_12.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_connect_socket_52a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fscanf_22a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_alloca_loop_05.c,Memory leak,Dereference of undefined pointer value,Fail
CWE126_Buffer_Overread__char_declare_loop_10.c,Memory leak,Dereference of undefined pointer value,Fail
CWE126_Buffer_Overread__CWE129_fscanf_52a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_declare_memmove_32.c,Memory leak,Assigned value is garbage or undefined;Dead initialization,Fail
CWE126_Buffer_Overread__CWE129_rand_34.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_listen_socket_73a.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fscanf_54a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_alloca_memcpy_33.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_connect_socket_74a.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_listen_socket_01.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_large_01.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_rand_66a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_connect_socket_65a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_listen_socket_66a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_alloca_memmove_10.c,Memory leak,Uninitialized argument value,Fail
CWE126_Buffer_Overread__CWE129_connect_socket_33.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fgets_65a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_rand_74a.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fgets_15.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_large_33.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_large_34.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_large_68a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_listen_socket_32.c,Memory leak,Dead initialization,Fail
CWE126_Buffer_Overread__CWE129_fgets_33.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fgets_01.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_alloca_memcpy_13.c,Memory leak,Uninitialized argument value,Fail
CWE126_Buffer_Overread__CWE129_listen_socket_03.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_declare_memmove_07.c,Memory leak,Uninitialized argument value,Fail
CWE126_Buffer_Overread__char_alloca_memcpy_11.c,Memory leak,Uninitialized argument value,Fail
CWE126_Buffer_Overread__char_declare_loop_13.c,Memory leak,Dereference of undefined pointer value,Fail
CWE126_Buffer_Overread__CWE129_fscanf_01.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_declare_loop_05.c,Memory leak,Dereference of undefined pointer value,Fail
CWE126_Buffer_Overread__CWE129_fscanf_15.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fscanf_81a.cpp,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_listen_socket_18.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_large_45.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_rand_15.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_large_32.c,Memory leak,Dead initialization,Fail
CWE126_Buffer_Overread__char_alloca_memmove_05.c,Memory leak,Uninitialized argument value,Fail
CWE126_Buffer_Overread__CWE129_large_15.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_declare_memcpy_14.c,Memory leak,Uninitialized argument value,Fail
CWE126_Buffer_Overread__char_declare_loop_14.c,Memory leak,Dereference of undefined pointer value,Fail
CWE126_Buffer_Overread__CWE129_connect_socket_22a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_rand_51a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fgets_18.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fgets_45.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fgets_53a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__CWE129_fscanf_51a.c,Memory leak,Dead assignment,Fail
CWE126_Buffer_Overread__char_alloca_loop_14.c,Memory leak,Dereference of undefined pointer value,Fail
