CWE127_Buffer_Underread_s02

Total files, 944

Files not reported, 765

Total OKs, 108, 11.4406779661017%
Total Fails, 71, 7.52118644067797%

File, Expected Bugs, Found Bugs, Bug was found?

CWE127_Buffer_Underread__CWE839_negative_65a.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__malloc_char_memmove_08.c,Memory leak,Memory leak,OK
CWE127_Buffer_Underread__malloc_char_memmove_09.c,Memory leak,Argument with 'nonnull' attribute passed null;Memory leak,OK
CWE127_Buffer_Underread__CWE839_negative_72a.cpp,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__malloc_char_ncpy_11.c,Memory leak,Memory leak;Argument with 'nonnull' attribute passed null,OK
CWE127_Buffer_Underread__malloc_char_cpy_02.c,Memory leak,Memory leak,OK
CWE127_Buffer_Underread__malloc_char_memmove_05.c,Memory leak,Memory leak;Argument with 'nonnull' attribute passed null,OK
CWE127_Buffer_Underread__CWE839_rand_16.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_rand_67a.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_rand_65a.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_rand_04.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__malloc_char_memmove_15.c,Memory leak,Memory leak,OK
CWE127_Buffer_Underread__malloc_char_memcpy_11.c,Memory leak,Argument with 'nonnull' attribute passed null;Memory leak,OK
CWE127_Buffer_Underread__malloc_char_loop_09.c,Memory leak,Dereference of null pointer,Fail
CWE127_Buffer_Underread__CWE839_negative_73a.cpp,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_rand_01.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__malloc_char_ncpy_32.c,Memory leak,Dead initialization;Memory leak,OK
CWE127_Buffer_Underread__malloc_char_cpy_03.c,Memory leak,Memory leak,OK
CWE127_Buffer_Underread__malloc_char_cpy_14.c,Memory leak,Memory leak;Argument with 'nonnull' attribute passed null,OK
CWE127_Buffer_Underread__CWE839_rand_21.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__malloc_char_memcpy_03.c,Memory leak,Memory leak,OK
CWE127_Buffer_Underread__malloc_char_cpy_07.c,Memory leak,Argument with 'nonnull' attribute passed null;Memory leak,OK
CWE127_Buffer_Underread__malloc_char_memcpy_41.c,Memory leak,Memory leak,OK
CWE127_Buffer_Underread__malloc_char_memmove_13.c,Memory leak,Memory leak;Argument with 'nonnull' attribute passed null,OK
CWE127_Buffer_Underread__CWE839_negative_16.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__malloc_char_ncpy_16.c,Memory leak,Memory leak,OK
CWE127_Buffer_Underread__malloc_char_ncpy_07.c,Memory leak,Memory leak;Argument with 'nonnull' attribute passed null,OK
CWE127_Buffer_Underread__malloc_char_memcpy_10.c,Memory leak,Argument with 'nonnull' attribute passed null;Memory leak,OK
CWE127_Buffer_Underread__malloc_char_loop_07.c,Memory leak,Dereference of null pointer,Fail
CWE127_Buffer_Underread__malloc_char_cpy_16.c,Memory leak,Memory leak,OK
CWE127_Buffer_Underread__malloc_char_ncpy_04.c,Memory leak,Memory leak,OK
CWE127_Buffer_Underread__CWE839_rand_73a.cpp,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__malloc_char_memcpy_05.c,Memory leak,Memory leak;Argument with 'nonnull' attribute passed null,OK
CWE127_Buffer_Underread__CWE839_rand_41.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__malloc_char_memmove_16.c,Memory leak,Memory leak,OK
CWE127_Buffer_Underread__CWE839_negative_01.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__CWE839_negative_12.c,Memory leak,Dead assignment,Fail
CWE127_Buffer_Underread__malloc_char_ncpy_41.c,Memory leak,Memory leak,OK
