CWE190_Integer_Overflow_s01

Total files, 902

Files not reported, 561

Total OKs, 0, 0%
Total Fails, 341, 37.8048780487805%

File, Expected Bugs, Found Bugs, Bug was found?

CWE190_Integer_Overflow__char_max_square_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_square_73a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_max_square_32.c,Memory leak,Dead initialization,Fail
CWE190_Integer_Overflow__char_rand_square_44.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_rand_square_31.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_max_multiply_18.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_rand_add_34.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_rand_add_21.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_max_multiply_66a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_rand_square_72a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_fscanf_multiply_06.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_square_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_rand_add_74a.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_square_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_rand_add_65a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_add_21.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_rand_add_12.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_multiply_67a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_multiply_16.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_add_34.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_max_square_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_rand_add_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_square_16.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_fscanf_add_03.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_square_21.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_max_multiply_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_square_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_square_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_multiply_45.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_rand_multiply_02.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_multiply_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_multiply_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__int64_t_fscanf_add_15.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_rand_multiply_68a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_add_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_rand_add_67a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_max_multiply_53a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_rand_add_15.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_add_22a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_max_multiply_52a.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_max_multiply_04.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_add_01.c,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_fscanf_add_33.cpp,Memory leak,Dead assignment,Fail
CWE190_Integer_Overflow__char_rand_add_52a.c,Memory leak,Dead assignment,Fail
