CWE191_Integer_Underflow_s03

Total files, 902

Files not reported, 561

Total OKs, 0, 0%
Total Fails, 341, 37.8048780487805%

File, Expected Bugs, Found Bugs, Bug was found?

CWE191_Integer_Underflow__unsigned_int_min_sub_41.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__unsigned_int_min_sub_01.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__unsigned_int_fscanf_sub_22a.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__short_fscanf_multiply_54a.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__short_fscanf_multiply_16.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__unsigned_int_fscanf_sub_06.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__unsigned_int_min_sub_45.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_rand_sub_02.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__short_fscanf_sub_52a.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__short_rand_multiply_45.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__unsigned_int_min_sub_33.cpp,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__short_min_sub_12.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__short_rand_multiply_22a.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_rand_sub_81a.cpp,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__unsigned_int_rand_sub_21.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__short_min_multiply_18.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_rand_sub_16.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_rand_sub_32.c,Memory leak,Dead initialization,Fail
CWE191_Integer_Underflow__int_rand_sub_54a.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__short_fscanf_sub_15.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__short_min_multiply_66a.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__short_rand_multiply_15.c,Memory leak,Dead assignment,Fail
CWE191_Integer_Underflow__int_rand_multiply_32.c,Memory leak,Dead initialization,Fail
