CWE369_Divide_by_Zero_s01

Total files, 902

Files not reported, 561

Total OKs, 0, 0%
Total Fails, 341, 37.8048780487805%

File, Expected Bugs, Found Bugs, Bug was found?

CWE369_Divide_by_Zero__float_connect_socket_04.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_45.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_54a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_81a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_31.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_rand_65a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_66a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_divide_33.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_74a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_divide_45.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_22a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_32.c,Division by zero,Dead initialization,Fail
CWE369_Divide_by_Zero__float_connect_socket_02.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_72a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_54a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_15.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_68a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_04.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_41.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_45.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_divide_65a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_divide_44.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_44.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fscanf_02.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_01.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_divide_67a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_21.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_31.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_connect_socket_modulo_82a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_fgets_16.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_connect_socket_34.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_zero_74a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_67a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fgets_divide_54a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__float_listenSocket_03.c,Division by zero,Dead assignment,Fail
