CWE369_Divide_by_Zero_s02

Total files, 574

Files not reported, 335

Total OKs, 54, 9.40766550522648%
Total Fails, 185, 32.2299651567944%

File, Expected Bugs, Found Bugs, Bug was found?

CWE369_Divide_by_Zero__int_zero_divide_22a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_zero_divide_21.c,Division by zero,Dead assignment;Division by zero,OK
CWE369_Divide_by_Zero__int_rand_divide_34.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_rand_modulo_34.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_fscanf_modulo_65a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_rand_divide_52a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_zero_modulo_51a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_rand_divide_18.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_rand_divide_32.c,Division by zero,Dead initialization,Fail
CWE369_Divide_by_Zero__int_rand_modulo_01.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_rand_modulo_45.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_listen_socket_divide_41.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_rand_divide_01.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_zero_modulo_07.c,Division by zero,Division by zero,OK
CWE369_Divide_by_Zero__int_zero_modulo_74a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_rand_modulo_16.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_listen_socket_modulo_66a.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_listen_socket_divide_82a.cpp,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_zero_divide_34.c,Division by zero,Dead assignment,Fail
CWE369_Divide_by_Zero__int_zero_divide_18.c,Division by zero,Dead assignment;Division by zero,OK
CWE369_Divide_by_Zero__int_rand_divide_68a.c,Division by zero,Dead assignment,Fail
