CWE401_Memory_Leak_s02

Total files, 966

Files not reported, 774

Total OKs, 27, 2.79503105590062%
Total Fails, 165, 17.0807453416149%

File, Expected Bugs, Found Bugs, Bug was found?

CWE401_Memory_Leak__new_array_int_12.cpp,Memory leak,Bad free,Fail
CWE401_Memory_Leak__new_int_12.cpp,Memory leak,Bad free,Fail
CWE401_Memory_Leak__new_array_struct_twoIntsStruct_72b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_TwoIntsClass_67b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_TwoIntsClass_74b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_struct_twoIntsStruct_12.cpp,Memory leak,Bad free,Fail
CWE401_Memory_Leak__new_array_int64_t_33.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_array_int64_t_66b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_int_67b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_TwoIntsClass_68b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_int_72b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_twoIntsStruct_12.cpp,Memory leak,Bad free,Fail
CWE401_Memory_Leak__new_array_twointsStruct_74b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__strdup_char_03.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__new_int64_t_73b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__strdup_char_14.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__new_char_33.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_int64_t_45.cpp,Memory leak,Stack address stored into global variable;Dead initialization,Fail
CWE401_Memory_Leak__strdup_char_42.c,Memory leak,Memory leak;Dead assignment;Return of address to stack-allocated memory,OK
CWE401_Memory_Leak__strdup_char_31.c,Memory leak,Dead initialization;Memory leak,OK
CWE401_Memory_Leak__new_twoIntsStruct_33.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_struct_twoIntsStruct_68b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_twoIntsStruct_66b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_array_twointsStruct_33.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_int64_t_67b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_array_twointsStruct_64b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__strdup_char_17.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__new_int_74b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__strdup_char_43.cpp,Memory leak,Memory leak,OK
CWE401_Memory_Leak__new_char_64b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_twoIntsStruct_34.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__strdup_char_74b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_array_TwoIntsClass_45.cpp,Memory leak,Stack address stored into global variable;Dead initialization,Fail
CWE401_Memory_Leak__new_array_twointsStruct_34.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__strdup_char_06.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__new_array_TwoIntsClass_72b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_int_33.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_array_int64_t_68b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_array_twointsStruct_32.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_twoIntsStruct_63b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__new_int64_t_33.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__strdup_char_10.c,Memory leak,Memory leak,OK
CWE401_Memory_Leak__new_int64_t_74b.cpp,Memory leak,Dead initialization,Fail
CWE401_Memory_Leak__strdup_char_05.c,Memory leak,Memory leak,OK
