CWE476_NULL_Pointer_Dereference

Total files, 530

Files not reported, 326

Total OKs, 180, 33.9622641509434%
Total Fails, 24, 4.52830188679245%

File, Expected Bugs, Found Bugs, Bug was found?

CWE476_NULL_Pointer_Dereference__struct_08.c,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__struct_32.c,Dereference of null pointer,Dead initialization;Assigned value is garbage or undefined,Fail
CWE476_NULL_Pointer_Dereference__class_16.cpp,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__struct_09.c,Dereference of null pointer,Dereference of undefined pointer value;Dereference of null pointer;Result of operation is garbage or undefined,OK
CWE476_NULL_Pointer_Dereference__int_04.c,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__int_12.c,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__int_45.c,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__struct_14.c,Dereference of null pointer,Dereference of undefined pointer value;Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__class_09.cpp,Dereference of null pointer,Dereference of null pointer;Dereference of undefined pointer value;Result of operation is garbage or undefined,OK
CWE476_NULL_Pointer_Dereference__deref_after_check_04.c,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__binary_if_01.c,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__deref_after_check_07.c,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__long_09.c,Dereference of null pointer,Dereference of undefined pointer value;Dereference of null pointer;Result of operation is garbage or undefined,OK
CWE476_NULL_Pointer_Dereference__null_check_after_deref_16.c,Dereference of null pointer,Memory leak,Fail
CWE476_NULL_Pointer_Dereference__null_check_after_deref_03.c,Dereference of null pointer,Memory leak,Fail
CWE476_NULL_Pointer_Dereference__null_check_after_deref_04.c,Dereference of null pointer,Memory leak,Fail
CWE476_NULL_Pointer_Dereference__char_03.c,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__long_14.c,Dereference of null pointer,Dereference of undefined pointer value;Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__long_10.c,Dereference of null pointer,Result of operation is garbage or undefined;Dereference of null pointer;Dereference of undefined pointer value,OK
CWE476_NULL_Pointer_Dereference__struct_04.c,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__int64_t_05.c,Dereference of null pointer,Dereference of undefined pointer value;Dereference of null pointer;Result of operation is garbage or undefined,OK
CWE476_NULL_Pointer_Dereference__class_02.cpp,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__null_check_after_deref_06.c,Dereference of null pointer,Memory leak,Fail
CWE476_NULL_Pointer_Dereference__char_16.c,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__struct_31.c,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__binary_if_04.c,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__long_44.c,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__long_07.c,Dereference of null pointer,Dereference of null pointer;Dereference of undefined pointer value,OK
CWE476_NULL_Pointer_Dereference__binary_if_06.c,Dereference of null pointer,Dereference of null pointer,OK
CWE476_NULL_Pointer_Dereference__long_08.c,Dereference of null pointer,Dereference of null pointer,OK
