CWE680_Integer_Overflow_to_Buffer_Overflow

Total files, 936

Files not reported, 384

Total OKs, 0, 0%
Total Fails, 552, 58.974358974359%

File, Expected Bugs, Found Bugs, Bug was found?

CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_rand_66b.c,,Uninitialized argument value,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_rand_81_bad.cpp,,Uninitialized argument value,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__new_rand_65a.cpp,,Dead assignment,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_fgets_08.c,,Uninitialized argument value,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_fscanf_84_bad.cpp,,Uninitialized argument value,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__new_fscanf_81a.cpp,,Dead assignment,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_connect_socket_73a.cpp,,Dead assignment,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_listen_socket_52a.c,,Dead assignment,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__new_fgets_67a.cpp,,Dead assignment,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__new_fscanf_73a.cpp,,Dead assignment,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_rand_21.c,,Uninitialized argument value,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__new_fgets_81a.cpp,,Dead assignment,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_fixed_04.c,,Dead assignment,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_listen_socket_06.c,,Dead assignment;Uninitialized argument value,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__new_fscanf_16.cpp,,Dead assignment,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_fscanf_21.c,,Uninitialized argument value,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_rand_65b.c,,Uninitialized argument value,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_fixed_18.c,,Dead assignment,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_rand_16.c,,Dead assignment;Uninitialized argument value,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_connect_socket_82a.cpp,,Dead assignment,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_fixed_41.c,,Dead assignment,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_fscanf_15.c,,Dead assignment;Uninitialized argument value,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__new_connect_socket_54a.cpp,,Dead assignment,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_fscanf_73b.cpp,,Uninitialized argument value,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__malloc_fgets_72b.cpp,,Uninitialized argument value,Fail
CWE680_Integer_Overflow_to_Buffer_Overflow__new_connect_socket_68a.cpp,,Dead assignment,Fail
